SELECT * WHERE 
{ 
	 <http://dbpedia.org/resource/James_Watt> ?x ?y
<http://dbpedia.org/ontology/wikiPageExternalLink>	<http://crocat.cornwall.gov.uk/dserve/dserve.exe?dsqIni=Dserve.ini&dsqApp=Archive&dsqDb=Catalog&dsqCmd=Overview.tcl&dsqSearch=(RefNo='ad1583')>
<http://dbpedia.org/ontology/wikiPageExternalLink>	<http://www.electricscotland.com/history/men/james_watt.htm>
<http://dbpedia.org/ontology/wikiPageExternalLink>	<http://visite.artsetmetiers.free.fr/watt.html>
<http://dbpedia.org/ontology/wikiPageExternalLink>	<http://www.inverclyde.gov.uk/GetAsset.aspx?id=fAA5ADUAOAAwAHwAfABGAGEAbABzAGUAfAB8ADAAfAA1>
<http://dbpedia.org/ontology/wikiPageExternalLink>	<http://digilander.libero.it/calchic/vapwatt/watt003.html>
<http://dbpedia.org/ontology/wikiPageExternalLink>	<http://digilander.libero.it/calchic/vapwatt/regol.html>
<http://dbpedia.org/property/hasPhotoCollection>	<http://wifo5-03.informatik.uni-mannheim.de/flickrwrappr/photos/James_Watt>
<http://www.w3.org/2002/07/owl#sameAs>	<http://rdf.freebase.com/ns/m.043rm>
<http://www.w3.org/2002/07/owl#sameAs>	<http://wikidata.org/entity/Q9041>
<http://www.w3.org/2002/07/owl#sameAs>	<http://wikidata.dbpedia.org/resource/Q9041>
<http://www.w3.org/2002/07/owl#sameAs>	<http://cs.dbpedia.org/resource/James_Watt>
<http://www.w3.org/2002/07/owl#sameAs>	<http://de.dbpedia.org/resource/James_Watt>
<http://www.w3.org/2002/07/owl#sameAs>	<http://el.dbpedia.org/resource/Τζέιμς_Βατ>
<http://www.w3.org/2002/07/owl#sameAs>	<http://es.dbpedia.org/resource/James_Watt>
<http://www.w3.org/2002/07/owl#sameAs>	<http://eu.dbpedia.org/resource/James_Watt>
<http://www.w3.org/2002/07/owl#sameAs>	<http://fr.dbpedia.org/resource/James_Watt>
<http://www.w3.org/2002/07/owl#sameAs>	<http://id.dbpedia.org/resource/James_Watt>
<http://www.w3.org/2002/07/owl#sameAs>	<http://it.dbpedia.org/resource/James_Watt>
<http://www.w3.org/2002/07/owl#sameAs>	<http://ja.dbpedia.org/resource/ジェームズ・ワット>
<http://www.w3.org/2002/07/owl#sameAs>	<http://ko.dbpedia.org/resource/제임스_와트>
<http://www.w3.org/2002/07/owl#sameAs>	<http://nl.dbpedia.org/resource/James_Watt>
<http://www.w3.org/2002/07/owl#sameAs>	<http://pl.dbpedia.org/resource/James_Watt>
<http://www.w3.org/2002/07/owl#sameAs>	<http://pt.dbpedia.org/resource/James_Watt>
<http://www.w3.org/2002/07/owl#sameAs>	<http://af.dbpedia.org/resource/James_Watt>
<http://www.w3.org/2002/07/owl#sameAs>	<http://als.dbpedia.org/resource/James_Watt>
<http://www.w3.org/2002/07/owl#sameAs>	<http://an.dbpedia.org/resource/James_Watt>
<http://www.w3.org/2002/07/owl#sameAs>	<http://ar.dbpedia.org/resource/جيمس_واط>
<http://www.w3.org/2002/07/owl#sameAs>	<http://arz.dbpedia.org/resource/جيمس_وات>
<http://www.w3.org/2002/07/owl#sameAs>	<http://ast.dbpedia.org/resource/James_Watt>
<http://www.w3.org/2002/07/owl#sameAs>	<http://az.dbpedia.org/resource/Ceyms_Vatt>
<http://www.w3.org/2002/07/owl#sameAs>	<http://ba.dbpedia.org/resource/Джеймс_Уатт>
<http://www.w3.org/2002/07/owl#sameAs>	<http://be.dbpedia.org/resource/Джэймс_Ват>
<http://www.w3.org/2002/07/owl#sameAs>	<http://bg.dbpedia.org/resource/Джеймс_Уат>
<http://www.w3.org/2002/07/owl#sameAs>	<http://bn.dbpedia.org/resource/জেমস_ওয়াট>
<http://www.w3.org/2002/07/owl#sameAs>	<http://br.dbpedia.org/resource/James_Watt>
