<http://dbpedia.org/resource/Louis_XVIII_of_France> ?x	?y
<http://dbpedia.org/property/wikiPageUsesTemplate>	<http://dbpedia.org/resource/Template:S-pre>
<http://dbpedia.org/property/wikiPageUsesTemplate>	<http://dbpedia.org/resource/Template:S-tul>
<http://dbpedia.org/property/wikiPageUsesTemplate>	<http://dbpedia.org/resource/Template:French_Pretenders>
<http://dbpedia.org/property/wikiPageUsesTemplate>	<http://dbpedia.org/resource/Template:French_Revolution_navbox>
<http://dbpedia.org/property/wikiPageUsesTemplate>	<http://dbpedia.org/resource/Template:Coin_image_box_1_double>
<http://dbpedia.org/property/wikiPageUsesTemplate>	<http://dbpedia.org/resource/Template:Monarchs_of_France>
<http://dbpedia.org/property/wikiPageUsesTemplate>	<http://dbpedia.org/resource/Template:France_topics>
<http://dbpedia.org/property/wikiPageUsesTemplate>	<http://dbpedia.org/resource/Template:Princes_of_France_(House_of_Bourbon)>
<http://dbpedia.org/property/wikiPageUsesTemplate>	<http://dbpedia.org/resource/Template:Dukes_of_Anjou>
<http://www.w3.org/2000/01/rdf-schema#label>	"Louis XVIII of France"@en
<http://www.w3.org/2000/01/rdf-schema#label>	"Louis XVIII de France"@fr
<http://www.w3.org/2000/01/rdf-schema#label>	"Luigi XVIII di Francia"@it
<http://www.w3.org/2000/01/rdf-schema#label>	"Lodewijk XVIII van Frankrijk"@nl
<http://dbpedia.org/ontology/wikiPageExternalLink>	<http://www.nndb.com/people/834/000093555/>
<http://dbpedia.org/ontology/wikiPageExternalLink>	<http://thinkexist.com/quotation/punctuality_is_the_politeness_of/180612.html>
<http://dbpedia.org/ontology/wikiPageExternalLink>	<http://books.google.fr/books?id=GxUoAQAAIAAJ&printsec=frontcover&dq=inauthor:%22Pierre-Victor+Besenval+(baron+de)%22&hl=fr&sa=X&ei=RlaeUKeoHvKR0QW2_ICwCA&ved=0CDQQ6AEwAQ#v=onepage&q&f=false>
<http://dbpedia.org/ontology/wikiPageExternalLink>	<http://www.herodote.net/18150319.htm>
<http://dbpedia.org/ontology/wikiPageExternalLink>	<http://doc.geneanet.org/zoom.php?idacte=260>
<http://dbpedia.org/property/hasPhotoCollection>	<http://wifo5-03.informatik.uni-mannheim.de/flickrwrappr/photos/Louis_XVIII_of_France>
<http://www.w3.org/2002/07/owl#sameAs>	<http://rdf.freebase.com/ns/m.0gs_r>
<http://www.w3.org/2002/07/owl#sameAs>	<http://wikidata.org/entity/Q7750>
<http://www.w3.org/2002/07/owl#sameAs>	<http://wikidata.dbpedia.org/resource/Q7750>
<http://www.w3.org/2002/07/owl#sameAs>	<http://cs.dbpedia.org/resource/Ludvík_XVIII.>
<http://www.w3.org/2002/07/owl#sameAs>	<http://de.dbpedia.org/resource/Ludwig_XVIII.>
<http://www.w3.org/2002/07/owl#sameAs>	<http://el.dbpedia.org/resource/Λουδοβίκος_ΙΗ΄_της_Γαλλίας>
<http://www.w3.org/2002/07/owl#sameAs>	<http://es.dbpedia.org/resource/Luis_XVIII_de_Francia>
<http://www.w3.org/2002/07/owl#sameAs>	<http://eu.dbpedia.org/resource/Luis_XVIII.a_Frantziakoa>
<http://www.w3.org/2002/07/owl#sameAs>	<http://fr.dbpedia.org/resource/Louis_XVIII_de_France>
<http://www.w3.org/2002/07/owl#sameAs>	<http://id.dbpedia.org/resource/Louis_XVIII_dari_Perancis>
<http://www.w3.org/2002/07/owl#sameAs>	<http://it.dbpedia.org/resource/Luigi_XVIII_di_Francia>
<http://www.w3.org/2002/07/owl#sameAs>	<http://ja.dbpedia.org/resource/ルイ18世_(フランス王)>
<http://www.w3.org/2002/07/owl#sameAs>	<http://ko.dbpedia.org/resource/루이_18세>
<http://www.w3.org/2002/07/owl#sameAs>	<http://nl.dbpedia.org/resource/Lodewijk_XVIII_van_Frankrijk>
<http://www.w3.org/2002/07/owl#sameAs>	<http://pl.dbpedia.org/resource/Ludwik_XVIII>
<http://www.w3.org/2002/07/owl#sameAs>	<http://pt.dbpedia.org/resource/Luís_XVIII_de_França>
<http://www.w3.org/2002/07/owl#sameAs>	<http://an.dbpedia.org/resource/Loís_XVIII_de_Francia>
<http://www.w3.org/2002/07/owl#sameAs>	<http://ar.dbpedia.org/resource/لويس_الثامن_عشر>
<http://www.w3.org/2002/07/owl#sameAs>	<http://arz.dbpedia.org/resource/لويس_التمنتاشر>
<http://www.w3.org/2002/07/owl#sameAs>	<http://be.dbpedia.org/resource/Людовік_XVIII>
<http://www.w3.org/2002/07/owl#sameAs>	<http://bg.dbpedia.org/resource/Луи_XVIII>
<http://www.w3.org/2002/07/owl#sameAs>	<http://br.dbpedia.org/resource/Loeiz_XVIII_(Bro-C'hall)>
<http://www.w3.org/2002/07/owl#sameAs>	<http://bs.dbpedia.org/resource/Luj_XVIII,_kralj_Francuske>
<http://www.w3.org/2002/07/owl#sameAs>	<http://ca.dbpedia.org/resource/Lluís_XVIII_de_França>
<http://www.w3.org/2002/07/owl#sameAs>	<http://cy.dbpedia.org/resource/Louis_XVIII,_brenin_Ffrainc>
<http://www.w3.org/2002/07/owl#sameAs>	<http://da.dbpedia.org/resource/Ludvig_18._af_Frankrig>
<http://www.w3.org/2002/07/owl#sameAs>	<http://eo.dbpedia.org/resource/Ludoviko_la_18-a_(Francio)>
<http://www.w3.org/2002/07/owl#sameAs>	<http://et.dbpedia.org/resource/Louis_XVIII>
<http://www.w3.org/2002/07/owl#sameAs>	<http://fa.dbpedia.org/resource/لوئی_هجدهم>
<http://www.w3.org/2002/07/owl#sameAs>	<http://fi.dbpedia.org/resource/Ludvig_XVIII>
<http://www.w3.org/2002/07/owl#sameAs>	<http://gl.dbpedia.org/resource/Luís_XVIII_de_Francia>
<http://www.w3.org/2002/07/owl#sameAs>	<http://he.dbpedia.org/resource/לואי_השמונה_עשר,_מלך_צרפת>
<http://www.w3.org/2002/07/owl#sameAs>	<http://hi.dbpedia.org/resource/लुई_अट्ठारहवाँ>
<http://www.w3.org/2002/07/owl#sameAs>	<http://hr.dbpedia.org/resource/Luj_XVIII.,_kralj_Francuske>
<http://www.w3.org/2002/07/owl#sameAs>	<http://hu.dbpedia.org/resource/XVIII._Lajos_francia_király>
<http://www.w3.org/2002/07/owl#sameAs>	<http://io.dbpedia.org/resource/Louis_18ma>
<http://www.w3.org/2002/07/owl#sameAs>	<http://is.dbpedia.org/resource/Loðvík_18.>
<http://www.w3.org/2002/07/owl#sameAs>	<http://ka.dbpedia.org/resource/ლუი_XVIII>
<http://www.w3.org/2002/07/owl#sameAs>	<http://la.dbpedia.org/resource/Ludovicus_XVIII>
<http://www.w3.org/2002/07/owl#sameAs>	<http://lt.dbpedia.org/resource/Liudvikas_XVIII>
<http://www.w3.org/2002/07/owl#sameAs>	<http://lv.dbpedia.org/resource/Luijs_XVIII>
<http://www.w3.org/2002/07/owl#sameAs>	<http://mk.dbpedia.org/resource/Луј_XVIII>
<http://www.w3.org/2002/07/owl#sameAs>	<http://mr.dbpedia.org/resource/अठरावा_लुई,_फ्रान्स>
<http://www.w3.org/2002/07/owl#sameAs>	<http://ms.dbpedia.org/resource/Louis_XVIII_dari_Perancis>
<http://www.w3.org/2002/07/owl#sameAs>	<http://nn.dbpedia.org/resource/Ludvig_XVIII_av_Frankrike>
<http://www.w3.org/2002/07/owl#sameAs>	<http://no.dbpedia.org/resource/Ludvig_XVIII_av_Frankrike>
<http://www.w3.org/2002/07/owl#sameAs>	<http://oc.dbpedia.org/resource/Loís_XVIII_de_França>
<http://www.w3.org/2002/07/owl#sameAs>	<http://ro.dbpedia.org/resource/Ludovic_al_XVIII-lea_al_Franței>
<http://www.w3.org/2002/07/owl#sameAs>	<http://ru.dbpedia.org/resource/Людовик_XVIII>
<http://www.w3.org/2002/07/owl#sameAs>	<http://scn.dbpedia.org/resource/Luiggi_XVIII>
<http://www.w3.org/2002/07/owl#sameAs>	<http://sh.dbpedia.org/resource/Luj_XVIII.,_kralj_Francuske>
<http://www.w3.org/2002/07/owl#sameAs>	<http://simple.dbpedia.org/resource/Louis_XVIII_of_France>
<http://www.w3.org/2002/07/owl#sameAs>	<http://sk.dbpedia.org/resource/Ľudovít_XVIII.>
<http://www.w3.org/2002/07/owl#sameAs>	<http://sr.dbpedia.org/resource/Луј_XVIII>
<http://www.w3.org/2002/07/owl#sameAs>	<http://sv.dbpedia.org/resource/Ludvig_XVIII_av_Frankrike>
<http://www.w3.org/2002/07/owl#sameAs>	<http://th.dbpedia.org/resource/พระเจ้าหลุยส์ที่_18_แห่งฝรั่งเศส>
<http://www.w3.org/2002/07/owl#sameAs>	<http://tr.dbpedia.org/resource/XVIII._Louis>
<http://www.w3.org/2002/07/owl#sameAs>	<http://uk.dbpedia.org/resource/Людовик_XVIII>
<http://www.w3.org/2002/07/owl#sameAs>	<http://vec.dbpedia.org/resource/Luigi_XVIII_de_Fransa>
<http://www.w3.org/2002/07/owl#sameAs>	<http://vi.dbpedia.org/resource/Louis_XVIII_của_Pháp>
<http://www.w3.org/2002/07/owl#sameAs>	<http://yo.dbpedia.org/resource/Louis_18k_ilẹ̀_Fránsì>
<http://www.w3.org/2002/07/owl#sameAs>	<http://zh.dbpedia.org/resource/路易十八>
<http://xmlns.com/foaf/0.1/depiction>	<http://commons.wikimedia.org/wiki/Special:FilePath/Louis_XVIII,_the_Desired.jpg>
<http://xmlns.com/foaf/0.1/depiction>	<http://commons.wikimedia.org/wiki/Special:FilePath/Louis_XVIII2.jpg>
<http://xmlns.com/foaf/0.1/depiction>	<http://commons.wikimedia.org/wiki/Special:FilePath/Louis_18_robes.jpg>
<http://dbpedia.org/ontology/thumbnail>	<http://commons.wikimedia.org/wiki/Special:FilePath/Louis_XVIII,_the_Desired.jpg?width=300>
<http://dbpedia.org/ontology/thumbnail>	<http://commons.wikimedia.org/wiki/Special:FilePath/Louis_XVIII2.jpg?width=300>
<http://dbpedia.org/ontology/thumbnail>	<http://commons.wikimedia.org/wiki/Special:FilePath/Louis_18_robes.jpg?width=300>
<http://dbpedia.org/ontology/abstract>	"Louis XVIII (Louis Stanislas Xavier; 17 November 1755 – 16 September 1824), known as \"the Desired\" (le Désiré), was a monarch of the House of Bourbon who ruled as King of France and Navarre from 1814 to 1824 except for a period in 1815 known as the Hundred Days. Louis XVIII spent twenty-three years in exile, from 1791 to 1814, during the French Revolution and the First French Empire, and again in 1815, during the period of the Hundred Days, upon the return of Napoleon I from Elba.Until his accession to the throne of France, Louis held the title of Count of Provence as brother of King Louis XVI. On 21 September 1792, the National Convention abolished the monarchy and deposed King Louis XVI, who was later executed by guillotine. When the young Louis XVII, Louis XVI's son, died in prison in June 1795, Louis XVIII succeeded his nephew as titular King.During the French Revolution and Napoleonic era, Louis XVIII lived in exile in Prussia, the United Kingdom and Russia. When the Sixth Coalition finally defeated Napoleon in 1814, Louis was restored to what he, and the French royalists, considered his rightful position. Napoleon escaped from his exile in Elba, however, and restored his French Empire. Louis XVIII fled and a Seventh Coalition declared war on the French Empire, defeated Napoleon, and for a second time restored Louis XVIII to the French throne.Louis XVIII ruled as king for slightly less than a decade. The Bourbon Restoration regime was a constitutional monarchy (unlike the ancien régime, which was absolutist). As a constitutional monarch, Louis XVIII's royal prerogative was reduced substantially by the Charter of 1814, France's new constitution. Louis had no children; therefore, upon his death, the crown passed to his brother, Charles, Count of Artois. Louis XVIII was the last French monarch to die while reigning."@en
<http://dbpedia.org/ontology/abstract>	"Louis XVIII, surnommé le Désiré — né à Versailles le 17 novembre 1755 sous le nom de Louis Stanislas Xavier de France, et par ailleurs comte de Provence (1755-1795) — fut roi de France et de Navarre de 1814 à 1815 et de 1815 à sa mort, le 16 septembre 1824, à Paris. Il meurt sans descendance, et est inhumé à la basilique Saint-Denis. Son frère, le comte d’Artois, chef des ultras, lui succède sous le nom de Charles X. Louis XVIII est le dernier monarque français à être mort régnant."@fr
<http://dbpedia.org/ontology/abstract>	"Luigi XVIII di Borbone (Versailles, 17 novembre 1755 – Parigi, 16 settembre 1824) fu re di Francia dal 1814 al 1824.Nipote di Luigi XV, figlio del delfino di Francia Luigi e di Maria Giuseppina di Sassonia, era il fratello minore del re ghigliottinato, Luigi XVI."@it
<http://dbpedia.org/ontology/abstract>	"Lodewijk XVIII (Kasteel van Versailles, 17 november 1755 – Parijs, 16 september 1824) was van 1814 tot 1824 koning van Frankrijk en Navarra. Hij regeerde vanaf 1814 tot zijn dood in 1824, met een kleine onderbreking in 1815, toen tijdens de Honderd Dagen keizer Napoleon I tijdelijk weer even aan de macht was.Hij was een jongere broer van koning Lodewijk XVI en een oom van koning Lodewijk XVII. Vanaf 1791 tot 1814 leefde hij achtereenvolgens in ballingschap in Pruisen, het Verenigd Koninkrijk en Rusland. In de Eerste Franse Republiek schafte men de monarchie af. Koning Lodewijk XVI werd op 21 september 1792 afgezet. Hoewel de monarchie nu officieel was opgeheven volgde Lodewijk XVIII zijn neefje, Lodewijk XVII, als titulair koning op, dit nadat de kleine jongen in juni 1795 in gevangenschap was gestorven.Nadat de legers van de coalitie in 1814 Parijs op Napoleon veroverden, werd Lodewijk XVIII officieel als koning erkend. In het tijdvak dat de Franse Restauratie wordt genoemd, regeerde Lodewijk XVIII iets minder dan een decennium. In tegenstelling tot het Ancien Régime (absolutisme) was de Restauratie een constitutionele monarchie. Als constitutioneel monarch werd het koninklijke gezag van Lodewijk XVIII aan banden gelegd door het Charter van 1814, de nieuwe Franse grondwet. Lodewijk had geen kinderen; dus na zijn dood werd de kroon overgedragen aan zijn jongere broer, Karel, graaf van Artois. Lodewijk XVIII was de laatste Franse monarch die in functie overleed."@nl
<http://dbpedia.org/ontology/wikiPageOutDegree>	"334"^^<http://www.w3.org/2001/XMLSchema#integer>
<http://dbpedia.org/ontology/wikiPageID>	"62114"^^<http://www.w3.org/2001/XMLSchema#integer>
<http://dbpedia.org/ontology/wikiPageLength>	"57035"^^<http://www.w3.org/2001/XMLSchema#integer>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/French_Revolution>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Catholic_Church>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Orson_Welles>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Russian_Empire>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Saint_Petersburg>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Victor_Hugo>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Absolute_monarchy>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Tsar>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Marie_Antoinette_(1938_film)>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/France>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/London>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Spain>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Departments_of_France>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Toulouse>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/First_French_Empire>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Constitutional_monarchy>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Burgundy>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Scotland>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Smallpox>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Napoleon>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/July_Revolution>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/England>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Bank>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/De_jure>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Stockholm>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Sweden>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Roman_Catholicism>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Dolphin>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Madeira>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Paris>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/New_World>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Dresden>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Francis_Xavier>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Palace_of_Versailles>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Vienna>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Warsaw>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Regent>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Gilbert_du_Motier,_Marquis_de_Lafayette>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/George_III_of_the_United_Kingdom>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Prussia>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Kingdom_of_France>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/George_III_of_Great_Britain>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/United_Kingdom_of_Great_Britain_and_Ireland>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Republic_of_Venice>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Edinburgh>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Rhine>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Metz>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Cannes>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/United_Kingdom>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/War_reparations>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Riga>
