<http://dbpedia.org/resource/Napoleon> ?x	?y
<http://dbpedia.org/property/wikiPageUsesTemplate>	<http://dbpedia.org/resource/Template:Use_British_English>
<http://dbpedia.org/property/wikiPageUsesTemplate>	<http://dbpedia.org/resource/Template:Quote>
<http://dbpedia.org/property/wikiPageUsesTemplate>	<http://dbpedia.org/resource/Template:Sister_project_links>
<http://dbpedia.org/property/wikiPageUsesTemplate>	<http://dbpedia.org/resource/Template:Good_article>
<http://dbpedia.org/property/wikiPageUsesTemplate>	<http://dbpedia.org/resource/Template:Refbegin>
<http://dbpedia.org/property/wikiPageUsesTemplate>	<http://dbpedia.org/resource/Template:Refend>
<http://dbpedia.org/property/wikiPageUsesTemplate>	<http://dbpedia.org/resource/Template:Worldcat_id>
<http://dbpedia.org/property/wikiPageUsesTemplate>	<http://dbpedia.org/resource/Template:Authority_control>
<http://dbpedia.org/property/wikiPageUsesTemplate>	<http://dbpedia.org/resource/Template:Persondata>
<http://dbpedia.org/property/wikiPageUsesTemplate>	<http://dbpedia.org/resource/Template:Convert>
<http://dbpedia.org/property/wikiPageUsesTemplate>	<http://dbpedia.org/resource/Template:Cite_web>
<http://dbpedia.org/property/wikiPageUsesTemplate>	<http://dbpedia.org/resource/Template:IPA-fr>
<http://dbpedia.org/property/wikiPageUsesTemplate>	<http://dbpedia.org/resource/Template:Lang-fr>
<http://dbpedia.org/property/wikiPageUsesTemplate>	<http://dbpedia.org/resource/Template:Double_image>
<http://dbpedia.org/property/wikiPageUsesTemplate>	<http://dbpedia.org/resource/Template:Pp-semi>
<http://dbpedia.org/property/wikiPageUsesTemplate>	<http://dbpedia.org/resource/Template:Hatnote>
<http://dbpedia.org/property/wikiPageUsesTemplate>	<http://dbpedia.org/resource/Template:Legend>
<http://dbpedia.org/property/wikiPageUsesTemplate>	<http://dbpedia.org/resource/Template:Gutenberg>
<http://dbpedia.org/property/wikiPageUsesTemplate>	<http://dbpedia.org/resource/Template:Infobox_royalty>
<http://dbpedia.org/property/wikiPageUsesTemplate>	<http://dbpedia.org/resource/Template:Ahnentafel-compact5>
<http://dbpedia.org/property/wikiPageUsesTemplate>	<http://dbpedia.org/resource/Template:S-start>
<http://dbpedia.org/property/wikiPageUsesTemplate>	<http://dbpedia.org/resource/Template:S-hou>
<http://dbpedia.org/property/wikiPageUsesTemplate>	<http://dbpedia.org/resource/Template:S-reg>
<http://dbpedia.org/property/wikiPageUsesTemplate>	<http://dbpedia.org/resource/Template:S-bef>
<http://dbpedia.org/property/wikiPageUsesTemplate>	<http://dbpedia.org/resource/Template:S-ttl>
<http://dbpedia.org/property/wikiPageUsesTemplate>	<http://dbpedia.org/resource/Template:S-aft>
<http://dbpedia.org/property/wikiPageUsesTemplate>	<http://dbpedia.org/resource/Template:S-break>
<http://dbpedia.org/property/wikiPageUsesTemplate>	<http://dbpedia.org/resource/Template:S-new>
<http://dbpedia.org/property/wikiPageUsesTemplate>	<http://dbpedia.org/resource/Template:S-end>
<http://dbpedia.org/property/wikiPageUsesTemplate>	<http://dbpedia.org/resource/Template:S-off>
<http://dbpedia.org/property/wikiPageUsesTemplate>	<http://dbpedia.org/resource/Template:S-vac>
<http://dbpedia.org/property/wikiPageUsesTemplate>	<http://dbpedia.org/resource/Template:S-non>
<http://dbpedia.org/property/wikiPageUsesTemplate>	<http://dbpedia.org/resource/Template:S-pre>
<http://dbpedia.org/property/wikiPageUsesTemplate>	<http://dbpedia.org/resource/Template:S-tul>
<http://dbpedia.org/property/wikiPageUsesTemplate>	<http://dbpedia.org/resource/Template:French_Pretenders>
<http://dbpedia.org/property/wikiPageUsesTemplate>	<http://dbpedia.org/resource/Template:French_Revolution_navbox>
<http://dbpedia.org/property/wikiPageUsesTemplate>	<http://dbpedia.org/resource/Template:Lang-it>
<http://dbpedia.org/property/wikiPageUsesTemplate>	<http://dbpedia.org/resource/Template:Bonaparte_family>
<http://dbpedia.org/property/wikiPageUsesTemplate>	<http://dbpedia.org/resource/Template:Kings_of_france>
<http://dbpedia.org/property/wikiPageUsesTemplate>	<http://dbpedia.org/resource/Template:Infobox_manner_of_address>
<http://dbpedia.org/property/wikiPageUsesTemplate>	<http://dbpedia.org/resource/Template:Heads_of_state_of_France>
<http://dbpedia.org/property/wikiPageUsesTemplate>	<http://dbpedia.org/resource/Template:MarshalsNapoleon>
<http://dbpedia.org/property/wikiPageUsesTemplate>	<http://dbpedia.org/resource/Template:Imperial_House_of_France_(First_French_Empire)>
<http://dbpedia.org/property/wikiPageUsesTemplate>	<http://dbpedia.org/resource/Template:German_Confederations_1806%E2%80%931871>
<http://www.w3.org/2000/01/rdf-schema#label>	"Napoleon"@en
