SELECT ?x ?y WHERE 
{ 
	 ?x ?y <http://dbpedia.org/resource/Napoleon>.
<http://dbpedia.org/resource/Midwestern_United_States>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Aerospace>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Insurgency>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Louisiana_(New_France)>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Seven_Years'_War>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Spanish_Empire>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Conscription>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Iconoclasm>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/James_Madison>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Robert_E._Lee>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/United_States_Capitol>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/William_Tecumseh_Sherman>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Winfield_Scott>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/George_B._McClellan>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Army_of_the_Potomac>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/American_frontier>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Commander-in-chief>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Attrition_warfare>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Antoine-Henri_Jomini>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Henry_Halleck>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/List_of_national_founders>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/International_System_of_Units>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Gregorian_calendar>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Auguste_Comte>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/%C3%89cole_Normale_Sup%C3%A9rieure>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/French_Academy_of_Sciences>	<http://dbpedia.org/ontology/wikiPageWikiLink>
