SELECT * WHERE 
{ 
	<http://dbpedia.org/resource/University_of_Glasgow> ?x ?y.
<http://www.w3.org/2002/07/owl#sameAs>	<http://eo.dbpedia.org/resource/Universitato_de_Glasgovo>
<http://www.w3.org/2002/07/owl#sameAs>	<http://fa.dbpedia.org/resource/دانشگاه_گلاسگو>
<http://www.w3.org/2002/07/owl#sameAs>	<http://fi.dbpedia.org/resource/Glasgow’n_yliopisto>
<http://www.w3.org/2002/07/owl#sameAs>	<http://ga.dbpedia.org/resource/Ollscoil_Ghlaschú>
<http://www.w3.org/2002/07/owl#sameAs>	<http://gd.dbpedia.org/resource/Oilthigh_Ghlaschu>
<http://www.w3.org/2002/07/owl#sameAs>	<http://hi.dbpedia.org/resource/ग्लासगो_विश्वविद्यालय>
<http://www.w3.org/2002/07/owl#sameAs>	<http://hr.dbpedia.org/resource/Sveučilište_u_Glasgowu>
<http://www.w3.org/2002/07/owl#sameAs>	<http://is.dbpedia.org/resource/Háskólinn_í_Glasgow>
<http://www.w3.org/2002/07/owl#sameAs>	<http://lt.dbpedia.org/resource/Glazgo_universitetas>
<http://www.w3.org/2002/07/owl#sameAs>	<http://nn.dbpedia.org/resource/University_of_Glasgow>
<http://www.w3.org/2002/07/owl#sameAs>	<http://no.dbpedia.org/resource/University_of_Glasgow>
<http://www.w3.org/2002/07/owl#sameAs>	<http://pnb.dbpedia.org/resource/گلاسگو_یونیورسٹی>
<http://www.w3.org/2002/07/owl#sameAs>	<http://ru.dbpedia.org/resource/Университет_Глазго>
<http://www.w3.org/2002/07/owl#sameAs>	<http://sco.dbpedia.org/resource/Glesga_Varsity>
<http://www.w3.org/2002/07/owl#sameAs>	<http://sh.dbpedia.org/resource/Univerzitet_u_Glasgowu>
<http://www.w3.org/2002/07/owl#sameAs>	<http://sv.dbpedia.org/resource/University_of_Glasgow>
<http://www.w3.org/2002/07/owl#sameAs>	<http://th.dbpedia.org/resource/มหาวิทยาลัยกลาสโกว์>
<http://www.w3.org/2002/07/owl#sameAs>	<http://tr.dbpedia.org/resource/Glasgow_Üniversitesi>
<http://www.w3.org/2002/07/owl#sameAs>	<http://uk.dbpedia.org/resource/Університет_Глазго>
<http://www.w3.org/2002/07/owl#sameAs>	<http://vi.dbpedia.org/resource/Đại_học_Glasgow>
<http://www.w3.org/2002/07/owl#sameAs>	<http://zh.dbpedia.org/resource/格拉斯哥大學>
<http://xmlns.com/foaf/0.1/homepage>	<http://www.gla.ac.uk/>
<http://xmlns.com/foaf/0.1/depiction>	<http://commons.wikimedia.org/wiki/Special:FilePath/University_of_Glasgow_Gilbert_Scott_Building_-_Feb_2008-2.jpg>
<http://dbpedia.org/ontology/thumbnail>	<http://commons.wikimedia.org/wiki/Special:FilePath/University_of_Glasgow_Gilbert_Scott_Building_-_Feb_2008-2.jpg?width=300>
